ItemCode,Item,MDA,MDACode, Amount ,Numeric MDA Code,Ministry
SHIUF91977964,"ANNUAL ROUTINE MAINTENANCE OF MECHANICAL/ELECTRICAL INSTALLATIONS , BUILDING/CIVILAND ENVIRONMENTAL SERVICES WITHIN AND AROUND VILLA FACILITIES (PRESIDENT/VPOFFICES/RESIDENCES, OLD AND NEW ADMIN COMPLEXES, VILLA POWER HOUSE, CONFERENCECENTER, BANQUET HALL, AUDITORIUM, PRESIDENTIAL/MINISTERIAL LOUNGES AND CHALETS ATTHE PRESIDENTIAL WING-AIRPORT ETC)",STATE HOUSE - HQTRS,0111001001," 4,953,184,635.00 ",111001001,STATE HOUSE
SHIUF13611272,PURCHASE OF 3 NO 33-SEATER COASTER BUSES (PHASED REPLACEMENT),STATE HOUSE - HQTRS,0111001001," 54,000,000.00 ",111001001,STATE HOUSE
OCOSP57688194,PURCHASE OF COMPUTERS,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,0111001004," 8,203,978.00 ",111001004,STATE HOUSE
OCSOP97919926,PURCHASE OF SECURITY EQUIPMENT,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,0111001005," 1,090,000.00 ",111001005,STATE HOUSE
OCSOP52782261,MAINTENANCE AND SERVICING OF SECURITY EQUIPMENT FOR SECURITY OPERATIONS OF THESTATE HOUSE,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,0111001005," 10,940,635.00 ",111001005,STATE HOUSE
SHLLO92731353,RESUSCITATION OF DORMANT BOREHOLES AND WATER STORAGE TANKS AT DODAN BARRACKS,STATE HOUSE LAGOS LIAISON OFFICE,0111001007," 6,915,755.00 ",111001007,STATE HOUSE
SHLLO80858532,REHABILITATION OF MINI ZOO AT DODAN BARRACKS,STATE HOUSE LAGOS LIAISON OFFICE,0111001007," 5,133,608.00 ",111001007,STATE HOUSE
SHLLO19396481,"REHABILITATION OF BLOCK OF FLATS IN AREA B, DODAN BARRACKS , LAGOS",STATE HOUSE LAGOS LIAISON OFFICE,0111001007," 26,602,926.00 ",111001007,STATE HOUSE
SHLLO87758779,"ANNUAL ROUTINE MAINTENANCE OF MECHANICAL/ELECTRICAL INSTALLATIONS, BUILDING/CIVILAND ENVIRONMENTAL SERVICES WITHIN STATE HOUSE LAGOS FACILITIES (DODAN BARRACKS,VP RESIDENCE/GUEST HOUSES AT IKOYI, ETC)",STATE HOUSE LAGOS LIAISON OFFICE,0111001007," 145,869,150.00 ",111001007,STATE HOUSE
NKXRN36104698,PURCHASE OF PRESS EQUIPMENT,NIPSS. KURU,0111006001," 36,850,000.00 ",111006001,STATE HOUSE
NKXRN21371831,RESEARCH INTO SOCIO-ECONOMIC PROBLEMS,NIPSS. KURU,0111006001," 26,805,371.00 ",111006001,STATE HOUSE
NKXRN61219630,TRAINING OF POLITICAL PARTIES LEADERSHIP,NIPSS. KURU,0111006001," 21,109,092.00 ",111006001,STATE HOUSE
NKXRN72425605,UPGRADING OF KITCHEN EQUIPMENT,NIPSS. KURU,0111006001," 12,470,000.00 ",111006001,STATE HOUSE
NKXRN31789098,RENOVATION OF PARTICIPANTS CHALETS,NIPSS. KURU,0111006001," 70,000,000.00 ",111006001,STATE HOUSE
NKXRN18230189,PURCHASE OF COMPUTERS,NIPSS. KURU,0111006001," 7,571,907.00 ",111006001,STATE HOUSE
NKXRN73733282,RENOVATION OF 14 BLOCKS OF RESEARCH FELLOWS CHALETS,NIPSS. KURU,0111006001," 105,000,000.00 ",111006001,STATE HOUSE
NKXRN20970224,PURCHASE AND INSTALLATION OF GENERATOR SET AND ACCESSORIES,NIPSS. KURU,0111006001," 55,000,000.00 ",111006001,STATE HOUSE
NKXRN71345349,PROVISION OF UTILITY VEHICLES (BUSES),NIPSS. KURU,0111006001," 19,500,000.00 ",111006001,STATE HOUSE
NKXRN14734419,PROVISION OF UTILITY VEHICLE (HILUX PICKUP),NIPSS. KURU,0111006001," 28,500,000.00 ",111006001,STATE HOUSE
BOPEB69816231,MONITORING AND EVALUATION OF PRIVATIZED ENTERPRISES.,BUREAU OF PUBLIC ENTERPRISES (BPE),0111007001," 174,310,066.00 ",111007001,STATE HOUSE
BOPEB65406243,PURCHASE OF TWO NUMBER OF TOYOTA COROLA VEHICLE FOR PROJECT MONITORING,BUREAU OF PUBLIC ENTERPRISES (BPE),0111007001," 20,000,000.00 ",111007001,STATE HOUSE
BOPEB52658669,PURCHASE OF OFFICE FURNITURE,BUREAU OF PUBLIC ENTERPRISES (BPE),0111007001," 3,790,716.00 ",111007001,STATE HOUSE
BOPEB89404530,UPGRADE OF IT EQUIPMENTS,BUREAU OF PUBLIC ENTERPRISES (BPE),0111007001," 23,057,363.00 ",111007001,STATE HOUSE
NEMAN06916936,NEMA OWNED NORTH WEST ZONAL OFFICE BUILDING KADUNA,NATIONAL EMERGENCY MANAGEMENT AGENCY (NEMA),0111008001," 20,097,513.00 ",111008001,STATE HOUSE
NEMAN17571050,NEMA MISSION CONTROL CENTER (MCC),NATIONAL EMERGENCY MANAGEMENT AGENCY (NEMA),0111008001," 131,646,756.00 ",111008001,STATE HOUSE
NEMAN13440244,NEMA OWNED SOUTH WEST ZONAL OFFICE BUILDING LAGOS,NATIONAL EMERGENCY MANAGEMENT AGENCY (NEMA),0111008001," 158,954,405.00 ",111008001,STATE HOUSE
NEMAN01875581,NEMA OWNED SOUTH SOUTH ZONAL OFFICE BUILDING PORT HARCOURT,NATIONAL EMERGENCY MANAGEMENT AGENCY (NEMA),0111008001," 103,939,436.00 ",111008001,STATE HOUSE
NEMAN63766418,NEMA OWNED SOUTH EAST ZONAL OFFICE BUILDING ENUGU,NATIONAL EMERGENCY MANAGEMENT AGENCY (NEMA),0111008001," 91,482,102.00 ",111008001,STATE HOUSE
EAFCC19459612,PROCUREMENT AND UPGRADE OF MICROSOFT PRODUCTS LICENCES.,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 142,237,198.00 ",111009001,STATE HOUSE
EAFCC38917432,PURCHASE OF PHOTOCOPIER,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 13,755,000.00 ",111009001,STATE HOUSE
EAFCC60534253,PURCHASE OF GENERATING SET FOR NEW ZONAL OFFICES,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 50,000,000.00 ",111009001,STATE HOUSE
EAFCC57628283,PURCHASE OF COMPUTER PRINTERS,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 3,276,000.00 ",111009001,STATE HOUSE
EAFCC37010819,PURCHASES OF OPERATIONAL MOTOR VEHICLES,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 345,000,000.00 ",111009001,STATE HOUSE
EAFCC50487426,NETWORK SERVICE UPGRADE,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 13,041,260.00 ",111009001,STATE HOUSE
EAFCC22731558,PURCHASE OF MEDICAL AND LABORATORY EQUIPMENT,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 30,000,000.00 ",111009001,STATE HOUSE
EAFCC30914059,PURCHASES OF MOTOR VEHICLE FOR LOGISTICS AND ADMINISTRATIVE PURPOSES,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 110,000,000.00 ",111009001,STATE HOUSE
EAFCC25778751,FURNISHING THE NEW HEAD OFFICE,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 1,100,595,088.00 ",111009001,STATE HOUSE
EAFCC73794679,CONSULTANCY FOR HEAD OFFICE PROJECT,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 244,727,624.00 ",111009001,STATE HOUSE
EAFCC59785767,COMPLETION OF ON GOING NEW HEAD OFFICE BUILDING CONSTRUCTION,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 4,583,616,838.00 ",111009001,STATE HOUSE
EAFCC77534506,PURCHASE OF INDUSTRIAL EQUIPMENT,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 12,835,000.00 ",111009001,STATE HOUSE
EAFCC12708171,PURCHASE OF SECURITY EQUIPMENT,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 77,000,000.00 ",111009001,STATE HOUSE
EAFCC38763003,SETTING UP OF E-LIBRARY,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 3,500,000.00 ",111009001,STATE HOUSE
EAFCC66529306,PURCHASE OF SHREDDING MACHINE,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 1,275,000.00 ",111009001,STATE HOUSE
EAFCC76928995,PURCHASE OF LIBRARY BOOKS,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 9,803,000.00 ",111009001,STATE HOUSE
EAFCC94428233,PURCHASE OF FURNITURE AND FITTINGS,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 64,725,000.00 ",111009001,STATE HOUSE
EAFCC04762240,COMPENSATION FOR LAND ACQUISITION- COMPENSATION TO LAND OWNERS IN NIGER STATE,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 190,000,000.00 ",111009001,STATE HOUSE
EAFCC36225718,CONSULTANCY FOR LAGOS OFFICE PROJECT,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 10,007,671.00 ",111009001,STATE HOUSE
EAFCC46396454,COMPLETION OF LAGOS OFFICE BUILDING PROJECT,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 60,123,246.00 ",111009001,STATE HOUSE
EAFCC35301939,ELECTRICITY POWER BACKUP,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 8,250,780.00 ",111009001,STATE HOUSE
EAFCC92031890,PURCHASE OF FORENSIC MANUALS,ECONOMIC AND FINANCIAL CRIME COMMISSION (EFCC),0111009001," 455,000.00 ",111009001,STATE HOUSE
BOPPB24425616,DEFENCE SOFTWARE,BUREAU OF PUBLIC PROCUREMENT (BPP),0111010001," 52,957,485.00 ",111010001,STATE HOUSE
BOPPB26220633,E - PROCUREMENT,BUREAU OF PUBLIC PROCUREMENT (BPP),0111010001," 280,435,800.00 ",111010001,STATE HOUSE
BOPPB74462151,"DATABASE MANAGEMENT, SOFTWARE DEVELOPMENT AND DEFENCE PROCUREMENTSOFTWARE",BUREAU OF PUBLIC PROCUREMENT (BPP),0111010001," 211,539,318.00 ",111010001,STATE HOUSE
BOPPB70871837,PUBLIC PROCUREMENT RESEARCH CENTRES,BUREAU OF PUBLIC PROCUREMENT (BPP),0111010001," 39,985,000.00 ",111010001,STATE HOUSE
NEITI86388521,SCOPING AND GAP ASSESSMENT OF CURRUPTION RISK PROFILE OF SELECTED MDAS,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE(NEITI),0111011001," 20,000,000.00 ",111011001,STATE HOUSE
NEITI54610827,SOLID MINERALS INDUSTRY AUDIT 2015,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE(NEITI),0111011001," 60,500,000.00 ",111011001,STATE HOUSE
NEITI36073619,FISCAL ALLOCATION & RESOURCE DISBUSEMENT AUDIT 2012-16,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE(NEITI),0111011001," 98,877,555.00 ",111011001,STATE HOUSE
NEITI00256955,OIL & GAS INDUSTRY AUDIT 2015,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE(NEITI),0111011001," 97,500,000.00 ",111011001,STATE HOUSE
NEITI45362959,UPGRADING OF QUICKBOOK ACCOUNTING SOFTWARE,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE(NEITI),0111011001," 1,500,000.00 ",111011001,STATE HOUSE
NEITI92096360,SAP ACCOUNTING SOFTWARE,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE(NEITI),0111011001," 4,500,000.00 ",111011001,STATE HOUSE
NEITI93162214,GEO POLITICAL ZONE PRESENTATION OF NEITI AUDIT REPORTS,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE(NEITI),0111011001," 30,000,000.00 ",111011001,STATE HOUSE
NEITI56933682,PURCHASE AND INSTALLATION OF OFFICE FURNITURE AND FITTINGS,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE(NEITI),0111011001," 5,130,000.00 ",111011001,STATE HOUSE
NEITI43759322,PLANING MONITORING & EVALUATION,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE(NEITI),0111011001," 3,940,000.00 ",111011001,STATE HOUSE
NEITI86858528,AIRCONDITION SETS AND ELECTRICAL FITTINGS,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE(NEITI),0111011001," 2,240,000.00 ",111011001,STATE HOUSE
NEITI16463912,PURCHASE OF GENERATOR SET,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE(NEITI),0111011001," 20,000,000.00 ",111011001,STATE HOUSE
NEITI35742172,DATA AUTOMATION OF NEITI INDUSTRY AUDIT,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE(NEITI),0111011001," 35,390,945.00 ",111011001,STATE HOUSE
NAEC&28916204,"PROCUREMENT OF FIRE FIGHTING VEHICLES AND EQUIPMENTS FOR NTC, SHEDA AND CERT,ZARIA",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 40,000,000.00 ",11104700100,STATE HOUSE
NAEC&75679281,"NUCLEAR THERMAL HYDRAULIC LABORATORY AND EQUIPPING OF CERD, ILE- IFE",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 61,827,772.00 ",11104700100,STATE HOUSE
NAEC&73360670,"DESIGN AND CONSTRUCTION OF LABORATORY BUILDING FOR NUCLEAR NON DESTRCUTIVETESTING AT PTI, EFFURUN WARRI",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 155,000,000.00 ",11104700100,STATE HOUSE
NAEC&87665787,CONSTRUCTION OF FGN IAEA MARINE CONTAMINATION COASTAL FIELD MONITORING STATIONAND LABORATORY FACILITY AND PERIMETER FENCING,NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 398,094,693.00 ",11104700100,STATE HOUSE
NAEC&90240781,"CONSTRUCTION GRADUATE RESEARCHERS HOSTEL AT CERD,ILE-IFE , CERT, ZARIA, CNERT,MAIDUGURI AND CNEST, PORT HARCOURT",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 348,998,752.00 ",11104700100,STATE HOUSE
NAEC&54742267,"CONSTRUCTION OF NUCLEAR SCIENCE AND ENGINEERING LABORATORY BLOCK, EQUIPPINGAND PERIMETER FENCE AT CNEST, OWERRI",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 201,694,040.00 ",11104700100,STATE HOUSE
NAEC&73659095,"LOW/INTERMEDIATE LEVEL RADIOACTIVE WASTE MANAGEMENT FACILITY AT NUCLEARTECHNOLOGY CENTRE, SHEDA",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 226,731,747.00 ",11104700100,STATE HOUSE
NAEC&69262405,"PRODUCT WAREHOUSE AND UPGRADE OF GAMMA IRRADIATION FACILITY AT NTC, SHEDA",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 155,669,393.00 ",11104700100,STATE HOUSE
NAEC&12952630,EMPLACEMENT OF THE CRITICAL RECREATIONAL AND EDUCATIONAL INFRASTRUCTURE AT THENUCLEAR TECHNOLOGY CENTRE,NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 102,387,500.00 ",11104700100,STATE HOUSE
NAEC&95156255,"NUCLEAR THERMAL HYDRAULIC LABORATORY, EQUIPPING AND ACCESS ROAD AT THE CENTREFOR NUCLEAR ENERGY STUDIES, CNES, UNIPORT",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 62,980,313.00 ",11104700100,STATE HOUSE
NAEC&98804725,"NUCLEAR SCIENCE AND ENGINEERING LABORATORY BLOCK, EQUIPPING AND PERIMETERFENCE AT CNES, UNIPORT",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 97,783,103.00 ",11104700100,STATE HOUSE
NAEC&99725946,"NUCLEAR SCIENCE AND ENGINEERING LABORATORY BLOCK, EQUIPPING AND PERIMETERFENCE AT CNERT, MAIDUGURI",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 166,274,828.00 ",11104700100,STATE HOUSE
NAEC&05067342,"RENOVATION OF ACCESS ROAD TO THE CENTRE FOR ENERGY RESEARCH AND TRAINING,AHMADU BELLO UNIVERSITY, ZARIA",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 17,572,507.00 ",11104700100,STATE HOUSE
NAEC&45761254,"CONSTRUCTION OF NEUTRONICS AND HEALTH PHYSICS AND DOSIMETRY LABORATORY ANDEQUIPPING AT CERT, ZARIA",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 317,613,528.00 ",11104700100,STATE HOUSE
NAEC&56432023,"CONSTRUCTION OF MULTIPURPOSE LABORATORY FOR NUCLEAR INSTRUMENTATION, NUCLEARSECURITY AND NUCLEAR SAFETY AND WORKSHOPS AND EQUIPPING AT NTC, SHEDA",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 351,834,849.00 ",11104700100,STATE HOUSE
NAEC&87969418,"REHABILITATION, PROCUREMENT AND INSTALLATION OF NUCLEAR INSTRUMENTATION ANDLABORATORY EQUIPMENTS AND MAINTENANCE OF FACILITIES AT THE NSELS AT SIX NUCLEARRESEARCH CENTRES",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 82,060,000.00 ",11104700100,STATE HOUSE
NAEC&14940987,"NUCLEAR POWER PLANT PLANNING, SITE CHARACTIRISATION AND SELECTION PROJECTS",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 633,404,862.00 ",11104700100,STATE HOUSE
NAEC&29725342,"DESIGN GRADING AND CONSTRUCTION OF 3KM ROAD AND TRAILER PARKING SPACE ANDFACILITIES TO TRANSPORT PRODUCTS OF THE GIF AT NTC, SHEDA",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 40,000,000.00 ",11104700100,STATE HOUSE
NAEC&09167340,IMPLEMENTATION OF GRADUATE AND UNDER GRADUATE DEGREE PROGRAMMES IN NUCLEARSCIENCE AND ENGINEERING,NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 108,780,000.00 ",11104700100,STATE HOUSE
NAEC&75742754,PAYMENT OF NATIONAL OBLIGATION TO CTBTO AND OTHER INTERNATIONAL ORGANIZATIONAND COUNTERPART FUNDING OF TECHNICAL COOPERATION PROJECTS,NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 88,000,000.00 ",11104700100,STATE HOUSE
NAEC&41439572,"DESIGN, SITING AND DEVELOPMENT OF SAFETY ANALYSIS OF MULTIPURPOSE NUCLEARRESEARCH REACTOR AND LABORATORIES",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 150,000,000.00 ",11104700100,STATE HOUSE
NAEC&02699959,".PAYMENT OF NATIONAL OBLIGATION TO IAEA,AFRA AND OTHER INTERNATIONAL ORGANIZATIONAND COUNTERPART FUNDING OF TECHNICAL COOPERATION PROJECTS",NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,011104700100," 221,000,000.00 ",11104700100,STATE HOUSE
OCEAP85893258,PROVISION OF EVIDENCE-BASED RESEARCH STUDIES ON ALL ASPECTS OF THE NIGERIANECONOMY THAT WILL HELP MR. PRESIDENT IN FORMULATING SOUND STRATEGIES ANDPOLICIES.,OFFICE OF THE CHIEF ECONOMIC ADVISER TO THE PRESIDENT,011105000100," 60,000,000.00 ",11105000100,STATE HOUSE
FMODM03828719,CLINICAL GOVERNANCE,FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 60,000,000.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM66757593,REHABILITATION OF NATIONAL WAR MUSEUM UMUAHIA,FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 55,208,000.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM60679878,PAN OUTSTANDING PAYMENT (2008/2009),FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 99,856,813.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM86934885,"COMPLETION OF 4NOS ZONAL EDUCATIONAL INSPECTORATE OFFICES IN KADUNA, ENUGU,ABUJA AND LAGOS",FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 297,885,990.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM35029879,"COMPLETION OF PTI SCHOOL AND GAMES VILLAGE, ESA OKE",FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 328,046,013.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM57599664,RENOVATION OF MOD STAFF CANTEEN,FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 14,000,000.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM82930416,BUDGET MONITORING AND EVALUATION,FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 30,000,000.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM27297380,JOINT CONSULTATIVE COUNCIL ON DEFENCE SCHOOLS,FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 28,000,000.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM03720207,REHABILITATION OF KADUNA AND LAGOS MILITARY CEMETERY,FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 35,000,016.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM80925727,REHABILITATION OF RECORDS/REGISTRY SECTION OF MOD,FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 12,000,000.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM26477009,ARMED FORCES REMEMBRANCE DAY CELEBRATION AND VETERAN SERVICES,FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 45,000,000.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM91926170,REFORMS/REVIEW OF ENABLING DEFENCE LAWS,FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 50,010,000.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM97402311,REVIEW AND PRODUCTION OF GENERIC GUIDELINE AND COMPILATION OF REFORMS IN MODAND ITS AGENCIES,FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 36,093,000.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM83798271,MONITORING AND SUPERVISION OF QUALITY ASSURANCE IN EDUCATIONAL INSTITUTIONS IN THEMILITARY FORMATIONS.,FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 37,500,000.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
FMODM53515055,"FURNISHING OF MOD (MINISTER/PERM. SEC OFFICES, DIRECTORS SHIPS A & B",FEDERAL MINISTRY OF DEFENCE - HQTRS,0116001001," 190,000,000.00 ",116001001,FEDERAL MINISTRY OF DEFENCE
